stage,comparison,feature,weighting,median_difference,effect_size,roc_auc,distribution_overlap,overlap_measure,candidate_threshold,threshold_direction,precision,recall,f1,tn,fp,fn,tp,confusion_matrix
whisper,whisper_vs_normal_speech,temporal_score,frame,0.0,,0.5,1.0,shared_histogram_mass,0.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,formant_score,frame,0.0,,0.5,1.0,shared_histogram_mass,0.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,low_proportion_std,frame,0.04499862097109185,0.6779877427660034,0.6553061224489796,0.5487619047619047,shared_histogram_mass,0.001191931182593,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,mid_proportion_std,frame,0.08606142375117388,1.2936936236335137,0.7299455782312925,0.33850340136054424,shared_histogram_mass,0.0011804173233597,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,high_proportion_std,frame,0.0202280125832081,0.3886904616198965,0.6757551020408163,0.6373333333333333,shared_histogram_mass,0.0002622964365308,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,zcr_std,frame,-3.8384940661648215e-05,-0.0018235460713764324,0.551952380952381,0.6690884353741497,shared_histogram_mass,0.0781833676627193,<=,0.8357348703170029,0.9863945578231292,0.9048361934477379,11,114,8,580,"[[11, 114], [8, 580]]"
whisper,whisper_vs_normal_speech,entropy_std,frame,-0.2886755757964422,-1.2825595753041172,0.11827210884353742,0.39804081632653066,shared_histogram_mass,0.5646103031183265,<=,0.9095238095238095,0.9744897959183674,0.9408866995073892,68,57,15,573,"[[68, 57], [15, 573]]"
whisper,whisper_vs_normal_speech,spectral_centroid_std,frame,-66.83793380990033,-0.5569629321128383,0.28877551020408165,0.5716326530612245,shared_histogram_mass,585.0219578196096,<=,0.8293370944992948,1.0,0.9067077872012337,4,121,0,588,"[[4, 121], [0, 588]]"
whisper,whisper_vs_normal_speech,spectral_flux,frame,-0.004658670277273399,-0.47710597253561593,0.2927619047619048,0.7041088435374151,shared_histogram_mass,0.0170612196152092,<=,0.8616071428571429,0.9846938775510204,0.919047619047619,32,93,9,579,"[[32, 93], [9, 579]]"
whisper,whisper_vs_normal_speech,cepstral_peak_prominence,frame,0.2741206219770249,0.8678174922589539,0.7186666666666667,0.6591292517006803,shared_histogram_mass,0.7587558285774804,>=,0.8475073313782991,0.9829931972789115,0.9102362204724409,21,104,10,578,"[[21, 104], [10, 578]]"
whisper,whisper_vs_normal_speech,spectral_slope,frame,-0.00014442677612970002,-0.7469427168631602,0.30810884353741497,0.6831836734693878,shared_histogram_mass,-0.0003593807416975,<=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,spectral_rolloff,frame,833.3333333333337,1.2172806401823266,0.8599931972789115,0.2583265306122449,shared_histogram_mass,1033.3333333333337,>=,0.932475884244373,0.9863945578231292,0.9586776859504131,83,42,8,580,"[[83, 42], [8, 580]]"
whisper,whisper_vs_normal_speech,spectral_flatness,frame,0.007058297166432351,0.4870985807740963,0.6849931972789116,0.6395510204081633,shared_histogram_mass,0.0024767697341312,>=,0.8565022421524664,0.9744897959183674,0.9116945107398569,29,96,15,573,"[[29, 96], [15, 573]]"
whisper,whisper_vs_normal_speech,temporal_v1_window_full,frame,0.0,,0.5,1.0,shared_histogram_mass,1.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,temporal_v1_silero_median,frame,-0.8209907540585847,-3.005945633398961,0.1273061224489796,0.24730612244897965,shared_histogram_mass,0.5158929824829102,<=,0.9408,1.0,0.9694971145919209,88,37,0,588,"[[88, 37], [0, 588]]"
whisper,whisper_vs_normal_speech,temporal_v1_low_proportion_std,frame,0.04499862097109185,0.6779877427660034,0.6553061224489796,0.5487619047619047,shared_histogram_mass,0.001191931182593,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,temporal_v1_raw_is_whisper,frame,1.0,2.3348013071484734,0.7517891156462585,0.4964217687074831,shared_histogram_mass,0.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,temporal_v1_is_whisper,frame,1.0,2.3348013071484734,0.7517891156462585,0.4964217687074831,shared_histogram_mass,0.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,temporal_v1_qualifying_run,frame,8.0,0.6963300711527206,0.8001292517006803,0.48854421768707484,shared_histogram_mass,0.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,webrtc_mode_0_evaluated,frame,0.0,,0.5,1.0,shared_histogram_mass,1.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,webrtc_mode_0_is_speech,frame,0.0,0.0,0.42394557823129253,0.8478911564625856,shared_histogram_mass,0.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,webrtc_mode_1_evaluated,frame,0.0,,0.5,1.0,shared_histogram_mass,1.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,webrtc_mode_1_is_speech,frame,0.0,0.0,0.42454421768707484,0.8490884353741501,shared_histogram_mass,0.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,webrtc_mode_2_evaluated,frame,0.0,,0.5,1.0,shared_histogram_mass,1.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,webrtc_mode_2_is_speech,frame,0.0,0.0,0.43138095238095236,0.8627619047619053,shared_histogram_mass,0.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,webrtc_mode_3_evaluated,frame,0.0,,0.5,1.0,shared_histogram_mass,1.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,webrtc_mode_3_is_speech,frame,-1.0,-2.907763157495221,0.192,0.384,shared_histogram_mass,0.0,<=,0.9245283018867925,1.0,0.9607843137254902,77,48,0,588,"[[77, 48], [0, 588]]"
whisper,whisper_vs_normal_speech,webrtc_assist_open,frame,0.0,0.0,0.42574149659863947,0.8514829931972795,shared_histogram_mass,0.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,webrtc_assist_enter_count,frame,0.0,0.0,0.4942448979591837,0.98865306122449,shared_histogram_mass,0.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,webrtc_assist_exit_count,frame,0.0,0.0,0.49727891156462584,0.9739183673469388,shared_histogram_mass,0.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,temporal_candidate,frame,1.0,2.3348013071484734,0.7517891156462585,0.4964217687074831,shared_histogram_mass,0.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,temporal_qualifying_run,frame,8.0,0.6963300711527206,0.8001292517006803,0.48854421768707484,shared_histogram_mass,0.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,assisted_confirmation_requirement,frame,0.0,,0.5,1.0,shared_histogram_mass,15.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,fallback_confirmation_requirement,frame,0.0,,0.5,1.0,shared_histogram_mass,24.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,confirmation_requirement,frame,0.0,0.0,0.5742585034013605,0.8514829931972775,shared_histogram_mass,15.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,actuation_enabled,frame,0.0,,0.5,1.0,shared_histogram_mass,0.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,actuation_requested,frame,0.0,,0.5,1.0,shared_histogram_mass,0.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_normal_speech,actuation_started,frame,0.0,,0.5,1.0,shared_histogram_mass,0.0,>=,0.8246844319775596,1.0,0.9039200614911607,0,125,0,588,"[[0, 125], [0, 588]]"
whisper,whisper_vs_all_non_whisper,is_speech,frame,0.0,0.0,0.46290253624555183,0.9258050724911037,shared_histogram_mass,0.0,>=,0.3520958083832335,1.0,0.520814880425155,0,1082,0,588,"[[0, 1082], [0, 588]]"
whisper,whisper_vs_all_non_whisper,speech_gate_open,frame,0.0,,0.5,1.0,shared_histogram_mass,1.0,>=,0.3520958083832335,1.0,0.520814880425155,0,1082,0,588,"[[0, 1082], [0, 588]]"
whisper,whisper_vs_all_non_whisper,comparison_speech_evaluated,frame,0.0,,0.5,1.0,shared_histogram_mass,1.0,>=,0.3520958083832335,1.0,0.520814880425155,0,1082,0,588,"[[0, 1082], [0, 588]]"
whisper,whisper_vs_all_non_whisper,comparison_speech_is_speech,frame,1.0,2.4750819855899895,0.7870691714763539,0.42586165704729206,shared_histogram_mass,1.0,>=,0.7272727272727273,0.7210884353741497,0.7241673783091375,923,159,164,424,"[[923, 159], [164, 424]]"
whisper,whisper_vs_all_non_whisper,comparison_speech_aggressiveness,frame,0.0,,0.5,1.0,shared_histogram_mass,1.0,>=,0.3520958083832335,1.0,0.520814880425155,0,1082,0,588,"[[0, 1082], [0, 588]]"
whisper,whisper_vs_all_non_whisper,is_whisper,frame,1.0,2.4525759815289803,0.7775488198976448,0.44490236020471036,shared_histogram_mass,1.0,>=,0.7290552584670231,0.6955782312925171,0.7119234116623152,930,152,179,409,"[[930, 152], [179, 409]]"
whisper,whisper_vs_all_non_whisper,whisper_processed,frame,0.0,,0.5,1.0,shared_histogram_mass,1.0,>=,0.3520958083832335,1.0,0.520814880425155,0,1082,0,588,"[[0, 1082], [0, 588]]"
whisper,whisper_vs_all_non_whisper,trigger,frame,0.0,0.0,0.5034013605442177,0.9931972789115646,shared_histogram_mass,0.0,>=,0.3520958083832335,1.0,0.520814880425155,0,1082,0,588,"[[0, 1082], [0, 588]]"
whisper,whisper_vs_all_non_whisper,total_band_energy,frame,0.10133109568180534,0.02849014140992459,0.8490276887094949,0.9582626026380979,shared_histogram_mass,0.0074622261961786,>=,0.6767411300919842,0.8758503401360545,0.7635285396590066,836,246,73,515,"[[836, 246], [73, 515]]"
whisper,whisper_vs_all_non_whisper,low_proportion,frame,-0.20495063381839196,-0.9909648807497367,0.22100355853986697,0.56502508581991,shared_histogram_mass,0.6316542456830736,<=,0.6628787878787878,0.5952380952380952,0.6272401433691757,904,178,238,350,"[[904, 178], [238, 350]]"
whisper,whisper_vs_all_non_whisper,mid_proportion,frame,0.13635351235420726,0.68460197256691,0.7679891734882492,0.6046940032944786,shared_histogram_mass,0.2070527081967241,>=,0.46757990867579907,0.8707482993197279,0.6084373143196672,499,583,76,512,"[[499, 583], [76, 512]]"
whisper,whisper_vs_all_non_whisper,high_proportion,frame,-0.0002427361563482472,-0.002641433948101326,0.5143426132005482,0.7735737548254052,shared_histogram_mass,0.8669541839560987,<=,0.3520958083832335,1.0,0.520814880425155,0,1082,0,588,"[[0, 1082], [0, 588]]"
whisper,whisper_vs_all_non_whisper,legacy_is_whisper,frame,0.0,0.0,0.48090585587284823,0.9618117117456965,shared_histogram_mass,0.0,>=,0.3520958083832335,1.0,0.520814880425155,0,1082,0,588,"[[0, 1082], [0, 588]]"
