frame,timestamp,processing_mode,detector_profile,speech_detector_implementation,comparison_speech_detector_implementation,is_speech,speech_probability,speech_gate_open,comparison_speech_evaluated,comparison_speech_is_speech,comparison_speech_aggressiveness,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score,low_proportion_std,mid_proportion_std,high_proportion_std,zcr_std,entropy_std,spectral_centroid_std,spectral_flux,cepstral_peak_prominence,spectral_slope,spectral_rolloff,spectral_flatness,temporal_v1_window_full,temporal_v1_silero_median,temporal_v1_low_proportion_std,temporal_v1_silero_min_pass,temporal_v1_silero_max_pass,temporal_v1_low_proportion_std_pass,temporal_v1_low_proportion_max,temporal_v1_low_proportion_max_pass,temporal_v1_raw_is_whisper,temporal_v1_is_whisper,temporal_v1_qualifying_run,webrtc_mode_0_evaluated,webrtc_mode_0_is_speech,webrtc_assist_open,webrtc_assist_enter_count,webrtc_assist_exit_count,temporal_candidate,temporal_qualifying_run,assisted_confirmation_requirement,fallback_confirmation_requirement,confirmation_requirement,threshold_crossing_route,trigger_route,trigger_suppression_reason,actuation_enabled,actuation_requested,actuation_started,actuation_suppression_reason
0,2026-08-16T20:33:11.727687,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.0,True,True,True,0,False,True,False,0,0.0,,,,,,,,,,,,,83.49897814182066,0.1973922737813722,0.4703363173089545,0.3322714089096614,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,16.482053153835075,39.27260187828482,27.74432310969977,0.0,0.0,,,,,,,,,,,,False,,,,,,0.85,True,False,False,0,True,True,False,1,0,False,0,15,24,24,,,,False,False,False,
1,2026-08-16T20:33:11.843586,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.0114354956895113,True,True,True,0,False,True,False,0,0.0,,,,,,,,,,,,,0.000966050344069895,0.3888679157592831,0.46195247529077077,0.14917960791480336,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.00037566598381699837,0.00044626934769858873,0.0001441150115543078,0.0,0.0,,,,,,,,,,,,False,,,,,,0.85,True,False,False,0,True,True,False,2,0,False,0,15,24,24,,,,False,False,False,
2,2026-08-16T20:33:11.883231,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.0060771191492676735,True,True,True,0,False,True,False,0,0.0,,,,,,,,,,,,,0.0005604518400808061,0.3378234194573299,0.5687386172171651,0.0934379615412303,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.00018933375705725055,0.00031875060454437346,5.236747747918212e-05,0.0,0.0,,,,,,,,,,,,False,,,,,,0.85,True,False,False,0,True,True,False,3,0,False,0,15,24,24,,,,False,False,False,
3,2026-08-16T20:33:11.887914,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.0029902320820838213,True,True,True,0,False,True,False,0,0.0,,,,,,,,,,,,,0.000666240264702081,0.5171004491384938,0.4062871068344541,0.076612442526092,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.00034451314011159514,0.0002706848296024294,5.1042293988056505e-05,0.0,0.0,,,,,,,,,,,,False,,,,,,0.85,True,False,False,0,True,True,False,4,0,False,0,15,24,24,,,,False,False,False,
4,2026-08-16T20:33:11.893025,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.0019695463124662638,True,True,True,0,False,True,False,0,0.0,,,,,,,,,,,,,0.0004257292819051988,0.5458038257566298,0.35706649901598386,0.0971296728784758,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.00023236467080048023,0.00015201366421847818,4.135094588624037e-05,0.0,0.0,,,,,,,,,,,,False,,,,,,0.85,True,False,False,0,True,True,False,5,0,False,0,15,24,24,,,,False,False,False,
5,2026-08-16T20:33:11.897113,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.0022068426478654146,True,True,True,0,False,True,False,0,0.0,,,,,,,,,,,,,0.0016356928286782682,0.7090640947629004,0.22331321326747594,0.06762269135826193,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0011598110548769241,0.0003652718214907111,0.00011060995131063294,0.0,0.0,,,,,,,,,,,,False,,,,,,0.85,True,False,False,0,True,True,False,6,0,False,0,15,24,24,,,,False,False,False,
6,2026-08-16T20:33:11.901190,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.0025680377148091793,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.0017663056256417896,0.7279438657353049,0.21887017469102335,0.0531859590075182,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0012857713451997006,0.0003865916208419558,9.394265860013301e-05,0.0,0.0,,,,,,,,,,,,False,,,,,,0.85,True,False,False,0,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
7,2026-08-16T20:33:11.906636,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.004037715028971434,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.002749566084467459,0.6431637075701278,0.23297319273920156,0.12386309932697684,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.00176842111709517,0.000640575189345809,0.00034056977702647966,0.0,0.0,,,,,,,,,,,,False,,,,,,0.85,True,False,False,0,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
8,2026-08-16T20:33:11.910947,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.0030162727925926447,True,True,False,0,False,True,False,0,0.0,,,,,,,,,,,,,0.002591246617195673,0.7231208805483084,0.21602924863991768,0.060849870425859445,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0018737845355443605,0.0005597850597535097,0.00015767702089780332,0.0,0.0,,,,,,,,,,,,False,,,,,,0.85,True,False,False,0,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
9,2026-08-16T20:33:11.915912,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.003164774039760232,True,True,False,0,True,True,False,1,0.0,,,,,,,,,,,,,0.0034633819738906263,0.7514235184608415,0.20033420034815938,0.04824228090226393,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.002602466668594749,0.0006938338582396084,0.0001670814460562689,0.0,0.0,0.18232604858847415,,,,,,,,,,,True,0.003003252437338233,0.18232604858847415,True,True,True,0.85,True,True,True,1,True,False,False,0,0,True,1,15,24,24,,,,False,False,False,
10,2026-08-16T20:33:11.924411,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.0025570467114448547,True,True,False,0,True,True,False,1,0.0,,,,,,,,,,,,,0.0053128638971560145,0.7449181940403272,0.20339825061322706,0.051683555158223246,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.003957648979451513,0.0010806272224277052,0.0002745876942767958,0.0,0.0,0.1454453545340913,,,,,,,,,,,True,0.003003252437338233,0.1454453545340913,True,True,True,0.85,True,True,True,2,True,False,False,0,0,True,2,15,24,24,,,,False,False,False,
11,2026-08-16T20:33:11.931336,shadow,webrtc_assisted_temporal,silero,webrtc,False,0.002199823036789894,True,True,False,0,True,True,False,1,0.0,,,,,,,,,,,,,0.003287884186779126,0.7724974684802955,0.16958065734130345,0.057921873874254015,,,,,,,,,,,,,,,,temporal_v1,False,0.0,0.0,0.0,0.0,0.0,0.0,0.00253988221094327,0.0005575615616560812,0.00019044041317977476,0.0,0.0,0.1323475442544497,,,,,,,,,,,True,0.0027791348984465003,0.1323475442544497,True,True,True,0.85,True,True,True,3,True,False,False,0,0,True,3,15,24,24,,,,False,False,False,
