frame,timestamp,is_speech,speech_probability,is_whisper,trigger,raw_score,whisper_probability,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score
32,2026-08-06T01:39:43.073981,False,0.001016168505884707,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2026-08-06T01:39:43.078157,False,0.0009696540655568242,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2026-08-06T01:39:43.083667,False,0.0008754039299674332,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2026-08-06T01:39:43.087512,False,0.0008339264895766973,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2026-08-06T01:39:43.090643,False,0.0007932928274385631,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2026-08-06T01:39:43.093685,False,0.0007524068932980299,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2026-08-06T01:39:43.096874,False,0.0007141148089431226,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2026-08-06T01:39:43.100447,False,0.000749797560274601,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2026-08-06T01:39:43.103895,False,0.0008084429427981377,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2026-08-06T01:39:43.109424,False,0.000935961666982621,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2026-08-06T01:39:43.117833,False,0.0008359333733096719,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2026-08-06T01:39:43.124073,False,0.0008493702043779194,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2026-08-06T01:39:43.129655,False,0.000778417510446161,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2026-08-06T01:39:43.136234,False,0.000693368841893971,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2026-08-06T01:39:43.142381,False,0.0006690529407933354,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2026-08-06T01:39:43.150480,False,0.0006409473717212677,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2026-08-06T01:39:43.150676,False,0.0006409473717212677,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2026-08-06T01:39:43.156998,False,0.000626877008471638,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2026-08-06T01:39:43.161185,False,0.0005232829134911299,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2026-08-06T01:39:43.164676,False,0.0005880900425836444,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2026-08-06T01:39:43.171638,False,0.0005459673120640218,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2026-08-06T01:39:43.175853,False,0.0005880556418560445,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2026-08-06T01:39:43.181924,False,0.0005550102214328945,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2026-08-06T01:39:43.185693,False,0.0004921642830595374,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2026-08-06T01:39:43.188721,False,0.0005179548170417547,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,2026-08-06T01:39:43.191668,False,0.0005573868402279913,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,2026-08-06T01:39:43.194680,False,0.0005159564316272736,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,2026-08-06T01:39:43.198083,False,0.00045908550964668393,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2026-08-06T01:39:43.202676,False,0.0004379084275569767,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,2026-08-06T01:39:43.205949,False,0.00043871294474229217,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2026-08-06T01:39:43.211493,False,0.0004306584596633911,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2026-08-06T01:39:43.215995,False,0.0004112195747438818,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2026-08-06T01:39:43.216306,False,0.0004112195747438818,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2026-08-06T01:39:43.219547,False,0.000510849233251065,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2026-08-06T01:39:43.222548,False,0.0004381163453217596,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2026-08-06T01:39:43.225492,False,0.0003922126197721809,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2026-08-06T01:39:43.228492,False,0.00041495426557958126,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,2026-08-06T01:39:43.232032,False,0.0003989319666288793,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2026-08-06T01:39:43.235396,False,0.0003889538929797709,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2026-08-06T01:39:43.238888,False,0.00043032565736211836,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2026-08-06T01:39:43.242662,False,0.0004289184871595353,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2026-08-06T01:39:43.247761,False,0.0004439979966264218,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,2026-08-06T01:39:43.251915,False,0.0004744690377265215,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,2026-08-06T01:39:43.254941,False,0.00045500873238779604,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2026-08-06T01:39:43.258328,False,0.00042902459972538054,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2026-08-06T01:39:43.261476,False,0.0004661668208427727,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2026-08-06T01:39:43.265914,False,0.0004791202663909644,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,2026-08-06T01:39:43.270416,False,0.0005154867540113628,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,2026-08-06T01:39:43.270598,False,0.0005154867540113628,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2026-08-06T01:39:43.274632,False,0.0005155292456038296,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,2026-08-06T01:39:43.278992,False,0.0005229628295637667,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,2026-08-06T01:39:43.288368,False,0.00045295790187083185,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,2026-08-06T01:39:43.294204,False,0.0004113972245249897,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,2026-08-06T01:39:43.299077,False,0.00037181584048084915,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
