frame,timestamp,processing_mode,speech_detector_implementation,is_speech,speech_probability,speech_gate_open,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score
0,2026-08-06T22:48:42.819275,shadow,silero,False,0.0,True,True,True,False,3,1.0,0.028429089691788437,0.12734864300626306,4.722840786967693,0.0,0.0,2278.7181762310347,18.25578928661952,37.98514224787996,32.45430439411587,0.0,0.0
1,2026-08-06T22:48:42.960431,shadow,silero,False,0.008260281756520271,True,False,True,False,1,0.3333333333333333,0.0003428096759605022,0.1336116910229645,3.822782219197534,0.0,0.0,1474.0672367895609,0.008677264723349374,0.0034463279668319803,0.0006087845809522951,0.0,0.0
2,2026-08-06T22:48:43.004796,shadow,silero,False,0.008689061738550663,True,False,True,False,1,0.3333333333333333,0.0003136558752920346,0.12943632567849686,3.798132005202748,0.0,0.0,1518.6642157855608,0.007336211450217272,0.0025782716466140956,0.0005240974143067364,0.0,0.0
3,2026-08-06T22:48:43.011615,shadow,silero,False,0.004133883863687515,True,False,True,False,1,0.3333333333333333,0.0002626351670902056,0.1524008350730689,3.8130354342631683,0.0,0.0,1482.0720714524205,0.005234404265835279,0.0016728060604341369,0.0003768792827468338,0.0,0.0
4,2026-08-06T22:48:43.019177,shadow,silero,False,0.002803226700052619,True,False,True,False,1,0.3333333333333333,0.00024577191851456057,0.10855949895615867,3.7247084105302806,0.0,0.0,1496.8940255749706,0.004690903234986853,0.001419155644821128,0.00033271607178765345,0.0,0.0
5,2026-08-06T22:48:43.026869,shadow,silero,False,0.002885223599150777,True,False,True,False,1,0.3333333333333333,0.0002774996009802757,0.11482254697286012,3.703964147744167,0.0,0.0,1484.6278316083988,0.006251444875597769,0.0016862560953283879,0.00036626185963320755,0.0,0.0
6,2026-08-06T22:48:43.033831,shadow,silero,False,0.003271662164479494,True,False,True,False,1,0.3333333333333333,0.00022963894009769373,0.13569937369519833,3.8711843205436787,0.0,0.0,1550.7514580296108,0.0038727838573549235,0.0013259274455712155,0.00041167397973605795,0.0,0.0
7,2026-08-06T22:48:43.039436,shadow,silero,False,0.0033440222032368183,True,False,True,False,1,0.3333333333333333,0.00026410250937672824,0.1440501043841336,3.778608197154245,0.0,0.0,1521.5908249293818,0.005131471161557248,0.0017020684471835358,0.00048720187315913743,0.0,0.0
8,2026-08-06T22:48:43.044977,shadow,silero,False,0.0030885408632457256,True,False,True,False,1,0.3333333333333333,0.00022466842909928854,0.1336116910229645,3.6972797305277756,0.0,0.0,1512.0538995472166,0.004002407266396084,0.0009075084835697226,0.00042603229087674816,0.0,0.0
9,2026-08-06T22:48:43.050800,shadow,silero,False,0.003033108077943325,True,False,True,False,1,0.3333333333333333,0.000244895742759511,0.1336116910229645,3.7480210393681226,0.0,0.0,1530.2532087528664,0.00479604989827543,0.0011941482334044894,0.00046882478684066734,0.0,0.0
10,2026-08-06T22:48:43.058043,shadow,silero,False,0.0025787765625864267,True,False,True,False,1,0.3333333333333333,0.00021396836013387363,0.1440501043841336,3.641034003290926,0.0,0.0,1485.2617229989326,0.0036277630220014007,0.0009926257316124891,0.0002893756392317647,0.0,0.0
11,2026-08-06T22:48:43.066578,shadow,silero,False,0.0023439873475581408,True,False,True,False,1,0.3333333333333333,0.00019872689603843345,0.11064718162839249,3.7083619006338093,0.0,0.0,1571.5215332448222,0.002864090904494355,0.0010005973219140507,0.0002578640616545755,0.0,0.0
12,2026-08-06T22:48:43.075064,shadow,silero,False,0.0020408944692462683,True,False,True,False,1,0.3333333333333333,0.0002301969983703468,0.12317327766179541,3.8268181237380348,0.0,0.0,1486.5006151158018,0.0040642538053812325,0.0012362365149012323,0.00030795400055869517,0.0,0.0
13,2026-08-06T22:48:43.083098,shadow,silero,False,0.001892855390906334,True,False,True,False,1,0.3333333333333333,0.0002182559738440808,0.08977035490605428,3.645800757523981,0.0,0.0,1418.6403823710045,0.003957823944292714,0.0008162480971262329,0.00021906430452979075,0.0,0.0
14,2026-08-06T22:48:43.091392,shadow,silero,False,0.001859262934885919,True,False,True,False,1,0.3333333333333333,0.00023653664591327033,0.0918580375782881,3.804142844039852,0.0,0.0,1498.7214691585177,0.004285820944705178,0.001282765179752338,0.00032315242381672943,0.0,0.0
15,2026-08-06T22:48:43.100590,shadow,silero,False,0.001964703667908907,True,False,True,False,1,0.3333333333333333,0.00021910082242854057,0.11691022964509394,3.5607652521795936,0.0,0.0,1509.7382218256876,0.0038313063520374257,0.0010153567143256252,0.00024594298177863416,0.0,0.0
16,2026-08-06T22:48:43.102028,shadow,silero,False,0.001964703667908907,True,False,True,False,1,0.3333333333333333,0.00021220347510734846,0.11064718162839249,3.5768124848000586,0.0,0.0,1509.2841853435407,0.003556471706691969,0.0010805053898679377,0.00019532785285606634,0.0,0.0
17,2026-08-06T22:48:43.109685,shadow,silero,False,0.0014120317064225674,True,False,True,False,1,0.3333333333333333,0.00020223656252875684,0.1127348643006263,3.734757731564533,0.0,0.0,1525.4839791047668,0.003178361810585707,0.0009601665150423187,0.00020806299462912569,0.0,0.0
18,2026-08-06T22:48:43.117593,shadow,silero,False,0.0013416447909548879,True,False,True,False,1,0.3333333333333333,0.00015067189138784747,0.08977035490605428,3.583206347473786,0.0,0.0,1469.8330407155756,0.0017266510720801301,0.0004832077309868137,9.315940574115422e-05,0.0,0.0
19,2026-08-06T22:48:43.129974,shadow,silero,False,0.001474712393246591,True,False,True,False,1,0.3333333333333333,0.00019832948136951748,0.11691022964509394,3.7650948897325356,0.0,0.0,1564.3364994871233,0.0029420064339911738,0.001048790626710021,0.0002129559465502201,0.0,0.0
20,2026-08-06T22:48:43.143728,shadow,silero,False,0.0011799830244854093,True,False,True,False,1,0.3333333333333333,0.00016687457767262888,0.12317327766179541,3.3727816654931835,0.0,0.0,1506.5295174726045,0.0021316156806093444,0.0007116192521387701,0.00011171658980490565,0.0,0.0
21,2026-08-06T22:48:43.154668,shadow,silero,False,0.0011854927288368344,True,False,True,False,1,0.3333333333333333,0.00021988651898779995,0.1022964509394572,3.587580893854362,0.0,0.0,1517.5610100497813,0.0037452136978680934,0.0010234016421843935,0.0002387217545292552,0.0,0.0
22,2026-08-06T22:48:43.165026,shadow,silero,False,0.0010092084994539618,True,False,True,False,1,0.3333333333333333,0.00015737370216447518,0.09394572025052192,3.631822341129541,0.0,0.0,1520.8634835656162,0.001926304735394565,0.0005348019739917307,0.0001256834921321804,0.0,0.0
23,2026-08-06T22:48:43.176522,shadow,silero,False,0.0010315311374142766,True,False,True,False,1,0.3333333333333333,0.00018862353627269632,0.1022964509394572,3.6993611554432726,0.0,0.0,1475.2376392738204,0.0027750969962012937,0.0008026899004144909,0.0001649226741686601,0.0,0.0
24,2026-08-06T22:48:43.183947,shadow,silero,False,0.0011831338051706553,True,False,True,False,1,0.3333333333333333,0.00013127213519581788,0.11482254697286012,3.526975108694529,0.0,0.0,1541.5741296053723,0.0012012580830833319,0.0003970112019861019,7.718209705379448e-05,0.0,0.0
25,2026-08-06T22:48:43.188126,shadow,silero,False,0.0009312441106885672,True,False,True,False,1,0.3333333333333333,0.0001784062777317732,0.10020876826722339,3.695189082802802,0.0,0.0,1490.7197243329306,0.00233430665420086,0.0007256999056821569,0.00015667234404115695,0.0,0.0
26,2026-08-06T22:48:43.192916,shadow,silero,False,0.0008274780702777207,True,False,True,False,1,0.3333333333333333,0.00014751735408796078,0.12526096033402923,3.647854615585842,0.0,0.0,1417.6234733562674,0.0017110484244722804,0.0004375284226810636,8.92798000245995e-05,0.0,0.0
27,2026-08-06T22:48:43.197837,shadow,silero,False,0.0008078530663624406,True,False,True,False,1,0.3333333333333333,0.00011005469914552903,0.09603340292275574,2.9315023385204713,0.0,0.0,1564.8401503247094,0.001000575381503224,0.00018415455579457026,3.707770065553022e-05,0.0,0.0
28,2026-08-06T22:48:43.203245,shadow,silero,False,0.0008350484422408044,True,False,True,False,1,0.3333333333333333,0.00010474547245591886,0.1524008350730689,3.69182014328841,0.0,0.0,1501.1501754024694,0.0006493879111350917,0.0003517785654006989,4.800435784443333e-05,0.0,0.0
29,2026-08-06T22:48:43.210577,shadow,silero,False,0.0009371726191602647,True,False,True,False,1,0.3333333333333333,0.00011546113191645166,0.1440501043841336,3.5800075222731045,0.0,0.0,1543.3582229519182,0.0007821960390914577,0.0005146138435544995,6.255637115986279e-05,0.0,0.0
