stage,full_pipeline,frame_count,tp,fp,fn,tn,precision,recall,f1
speech,False,1336,102,1,611,622,0.9902912621359223,0.14305750350631136,0.25
whisper,False,713,2,40,586,85,0.047619047619047616,0.003401360544217687,0.006349206349206349
