frame,timestamp,is_whisper,trigger,raw_score,probability,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score
34,2026-07-30T18:37:03.518592,False,False,1,0.3333333333333333,7.003113854327353e-05,0.13987473903966596,3.906921117728748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2026-07-30T18:37:03.519542,False,False,1,0.3333333333333333,5.870288585654323e-05,0.16910229645093947,3.9239048251714164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2026-07-30T18:37:03.520387,False,False,1,0.3333333333333333,6.314915270280885e-05,0.1544885177453027,3.6146024988474452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2026-07-30T18:37:03.521200,False,False,1,0.3333333333333333,9.039319936803203e-05,0.12734864300626306,3.6399681101279713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2026-07-30T18:37:03.522008,False,False,1,0.3333333333333333,8.433077619219461e-05,0.11899791231732777,3.75811696620033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2026-07-30T18:37:03.522823,False,False,1,0.3333333333333333,6.965008075533196e-05,0.12734864300626306,2.9786183848848276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2026-07-30T18:37:03.523654,False,False,1,0.3333333333333333,8.5288701472878e-05,0.11899791231732777,3.667263653491067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2026-07-30T18:37:03.524490,False,False,1,0.3333333333333333,7.01360384400992e-05,0.1419624217118998,3.5965173886536266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2026-07-30T18:37:03.525695,False,False,1,0.3333333333333333,5.8828901668526904e-05,0.16075156576200417,3.7129109709999115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2026-07-30T18:37:03.527704,False,False,1,0.3333333333333333,6.676841595881083e-05,0.15031315240083507,3.725764069413818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2026-07-30T18:37:03.529506,False,False,1,0.3333333333333333,7.162153051586312e-05,0.12108559498956159,2.6731470524503904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2026-07-30T18:37:03.530853,False,False,1,0.3333333333333333,0.00011902151074716255,0.1544885177453027,3.1131249935147425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2026-07-30T18:37:03.531940,False,False,1,0.3333333333333333,8.131425309195996e-05,0.09812108559498957,3.1650399683562163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2026-07-30T18:37:03.532843,False,False,1,0.3333333333333333,0.00010261527441519684,0.12734864300626306,3.1096859749087384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2026-07-30T18:37:03.534459,False,False,1,0.3333333333333333,8.730389007985506e-05,0.11691022964509394,3.612320257880673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2026-07-30T18:37:03.535634,False,False,1,0.3333333333333333,9.630765887377474e-05,0.12108559498956159,3.4289550546655136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2026-07-30T18:37:03.536629,False,False,1,0.3333333333333333,7.664197595158901e-05,0.12004175365344467,3.4570054390338094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2026-07-30T18:37:03.537562,False,False,1,0.3333333333333333,9.759218064827261e-05,0.12526096033402923,3.346177060104126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2026-07-30T18:37:03.538645,False,False,1,0.3333333333333333,8.724130550290572e-05,0.13778705636743216,3.6481152585478354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
