stage,comparison,feature,weighting,median_difference,effect_size,roc_auc,distribution_overlap,overlap_measure,candidate_threshold,threshold_direction,precision,recall,f1,tn,fp,fn,tp,confusion_matrix
whisper,whisper_vs_normal_speech,spectral_centroid,frame,210.83639468579827,0.6075433858138536,0.7354794434785958,0.5379662359677724,shared_histogram_mass,1412.6972686532924,>=,0.5691077875193399,0.9331923890063425,0.7070318757007849,1841,1671,158,2207,"[[1841, 1671], [158, 2207]]"
whisper,whisper_vs_normal_speech,band_energy_low,frame,-0.0643685860147021,-0.0549686938597932,0.21509328331254485,0.8475185049627492,shared_histogram_mass,0.0248967218745419,<=,0.6056338028169014,0.8363636363636363,0.7025395134079203,2224,1288,387,1978,"[[2224, 1288], [387, 1978]]"
whisper,whisper_vs_normal_speech,band_energy_mid,frame,-0.005920927386144599,-0.019511199841387078,0.39369326308591024,0.9678114781335632,shared_histogram_mass,4.346423458958654,<=,0.4025531914893617,1.0,0.5740291262135923,2,3510,0,2365,"[[2, 3510], [0, 2365]]"
whisper,whisper_vs_normal_speech,band_energy_high,frame,-0.00089418671855865,-0.013636576884617115,0.4046316585358806,0.9844577576367587,shared_histogram_mass,1.6317860581569337,<=,0.40241619874085416,1.0,0.5738898325649114,0,3512,0,2365,"[[0, 3512], [0, 2365]]"
whisper,whisper_vs_normal_speech,temporal_score,frame,0.0,,0.5,1.0,shared_histogram_mass,0.0,>=,0.40241619874085416,1.0,0.5738898325649114,0,3512,0,2365,"[[0, 3512], [0, 2365]]"
whisper,whisper_vs_normal_speech,formant_score,frame,0.0,,0.5,1.0,shared_histogram_mass,0.0,>=,0.40241619874085416,1.0,0.5738898325649114,0,3512,0,2365,"[[0, 3512], [0, 2365]]"
whisper,whisper_vs_normal_speech,low_proportion_std,frame,0.037209130853223804,0.5126663942137889,0.6089419730752744,0.782786265919807,shared_histogram_mass,0.001191931182593,>=,0.40379033634966705,1.0,0.5752858185356361,0,3492,0,2365,"[[0, 3492], [0, 2365]]"
whisper,whisper_vs_normal_speech,mid_proportion_std,frame,0.04800364348702224,0.7747880076139039,0.6817695051691696,0.6958386308542148,shared_histogram_mass,0.0767103952293058,>=,0.4978699233172394,0.7412262156448203,0.5956506965681277,1724,1768,612,1753,"[[1724, 1768], [612, 1753]]"
whisper,whisper_vs_normal_speech,high_proportion_std,frame,0.0192656165080032,0.24951385411734475,0.6220094737836287,0.7981685713524601,shared_histogram_mass,0.0065076964771131,>=,0.44640352634742536,0.9420718816067654,0.6057640021750951,729,2763,137,2228,"[[729, 2763], [137, 2228]]"
whisper,whisper_vs_normal_speech,zcr_std,frame,0.005806235723895152,0.22298663520769957,0.5713205538966747,0.8538274134294274,shared_histogram_mass,0.0117727533861141,>=,0.42342342342342343,0.9539112050739957,0.5865072143507084,420,3072,109,2256,"[[420, 3072], [109, 2256]]"
whisper,whisper_vs_normal_speech,entropy_std,frame,-0.19826276561519407,-1.1026912824929505,0.20455259863075734,0.5511264648402026,shared_histogram_mass,0.3705402184356592,<=,0.6107165913492576,0.8,0.6926597107816219,2286,1206,473,1892,"[[2286, 1206], [473, 1892]]"
whisper,whisper_vs_normal_speech,spectral_centroid_std,frame,-43.19803120050992,-0.3253803420045772,0.37489483664261897,0.7736998370179861,shared_histogram_mass,542.9133451980701,<=,0.41145374449339206,0.9873150105708245,0.5808457711442786,152,3340,30,2335,"[[152, 3340], [30, 2335]]"
whisper,whisper_vs_normal_speech,spectral_flux,frame,-0.0021290660935737995,-0.3258345924511731,0.34241946669106704,0.7745743978964301,shared_histogram_mass,0.012639710489737,<=,0.4628691983122363,0.9276955602536998,0.6175932441942293,966,2546,171,2194,"[[966, 2546], [171, 2194]]"
whisper,whisper_vs_normal_speech,cepstral_peak_prominence,frame,0.1777625995684362,0.5859235900907795,0.657897056061489,0.7581214753885199,shared_histogram_mass,0.8946288039222812,>=,0.45853762523982095,0.9095137420718816,0.6096938775510204,972,2540,214,2151,"[[972, 2540], [214, 2151]]"
whisper,whisper_vs_normal_speech,spectral_slope,frame,-9.77283474581e-05,-0.5263362909035271,0.3571864751236473,0.7821302498952549,shared_histogram_mass,-0.0005465395019483,<=,0.4574327304808116,0.8769556025369979,0.6012465574720974,1052,2460,291,2074,"[[1052, 2460], [291, 2074]]"
whisper,whisper_vs_normal_speech,spectral_rolloff,frame,700.0,0.9278047402890331,0.7503171849340468,0.5092576584299315,shared_histogram_mass,1166.6666666666667,>=,0.5834645669291338,0.9399577167019028,0.72,1925,1587,142,2223,"[[1925, 1587], [142, 2223]]"
whisper,whisper_vs_normal_speech,spectral_flatness,frame,0.00612062586470425,0.3853973748231509,0.6591184799202493,0.747669723135899,shared_histogram_mass,0.0052352155841817,>=,0.482078853046595,0.9099365750528541,0.6302533313808757,1200,2312,213,2152,"[[1200, 2312], [213, 2152]]"
whisper,whisper_vs_normal_speech,temporal_v1_window_full,frame,0.0,0.0,0.5028473804100227,0.9943052391799544,shared_histogram_mass,1.0,>=,0.40379033634966705,1.0,0.5752858185356361,20,3492,0,2365,"[[20, 3492], [0, 2365]]"
whisper,whisper_vs_normal_speech,temporal_v1_silero_median,frame,-0.6858886460540816,-2.416153636138012,0.057725904453307955,0.28912185872147517,shared_histogram_mass,0.0138809476047754,<=,0.8195062727640632,0.8562367864693446,0.837468982630273,3046,446,340,2025,"[[3046, 446], [340, 2025]]"
whisper,whisper_vs_normal_speech,temporal_v1_low_proportion_std,frame,0.037209130853223804,0.5126663942137889,0.6089419730752744,0.782786265919807,shared_histogram_mass,0.001191931182593,>=,0.40379033634966705,1.0,0.5752858185356361,0,3492,0,2365,"[[0, 3492], [0, 2365]]"
whisper,whisper_vs_normal_speech,temporal_v1_low_proportion_max,frame,0.0,0.0,0.5,1.0,shared_histogram_mass,0.85,>=,0.40241619874085416,1.0,0.5738898325649114,0,3512,0,2365,"[[0, 3512], [0, 2365]]"
whisper,whisper_vs_normal_speech,temporal_v1_low_proportion_max_pass,frame,0.0,0.0,0.7253260942850125,0.5493478114299749,shared_histogram_mass,1.0,>=,0.5547846889952153,0.9805496828752642,0.7086325439266614,1651,1861,46,2319,"[[1651, 1861], [46, 2319]]"
