wav_file,annotation_start_seconds,annotation_end_seconds,annotation_label,max_qualifying_run,max_segment_local_qualifying_run,max_live_qualifying_run,sustained_at_requirement,segment_local_sustained,cross_boundary_continuation,cross_boundary_frame_count,trigger
4_kaspar_whisper_1m_1.wav,0.5,1.1,normal_speech,14,14,14,False,False,False,0,False
4_kaspar_whisper_1m_1.wav,1.1,1.91,silence,11,11,16,True,False,True,2,True
4_kaspar_whisper_1m_1.wav,1.91,10.0,normal_speech,15,15,15,False,False,False,0,False
4_kaspar_whisper_1m_2.wav,0.0,0.2,background_noise,0,0,0,False,False,False,0,False
4_kaspar_whisper_1m_2.wav,0.2,1.87,normal_speech,19,19,19,True,True,False,0,True
4_kaspar_whisper_1m_2.wav,1.87,2.45,background_noise,10,10,29,True,False,True,10,False
4_kaspar_whisper_1m_2.wav,2.45,10.0,whisper,0,0,0,False,False,False,0,False
4_kaspar_whisper_1m_3.wav,0.0,0.2,background_noise,0,0,0,False,False,False,0,False
4_kaspar_whisper_1m_3.wav,0.2,0.97,normal_speech,24,24,24,True,True,False,0,True
4_kaspar_whisper_1m_3.wav,0.97,1.69,silence,21,21,45,True,False,True,21,False
4_kaspar_whisper_1m_3.wav,1.69,10.0,whisper,6,6,6,False,False,False,0,False
4_kaspar_whisper_1m_5.wav,0.0,0.2,background_noise,0,0,0,False,False,False,0,False
4_kaspar_whisper_1m_5.wav,0.2,0.54,normal_speech,6,6,6,False,False,False,0,False
4_kaspar_whisper_1m_5.wav,0.54,1.57,silence,20,20,20,False,False,False,0,False
4_kaspar_whisper_1m_5.wav,1.57,6.52,whisper,32,32,52,True,True,True,20,True
4_kaspar_whisper_1m_5.wav,6.52,10.0,background_noise,4,4,18,False,False,False,0,False
4_kaspar_whisper_50cm_6.wav,0.0,0.2,background_noise,0,0,0,False,False,False,0,False
4_kaspar_whisper_50cm_6.wav,0.2,0.89,normal_speech,21,21,21,False,False,False,0,False
4_kaspar_whisper_50cm_6.wav,0.89,2.59,background_noise,13,13,22,False,False,False,0,False
4_kaspar_whisper_50cm_6.wav,2.59,9.38,whisper,19,19,19,False,False,False,0,False
4_kaspar_whisper_50cm_6.wav,9.38,10.0,silence,0,0,0,False,False,False,0,False
4_kaspar_whisper_soln_50cm_9.wav,0.0,0.2,background_noise,0,0,0,False,False,False,0,False
4_kaspar_whisper_soln_50cm_9.wav,0.2,1.36,normal_speech,15,15,15,False,False,False,0,False
4_kaspar_whisper_soln_50cm_9.wav,1.36,1.7,background_noise,8,8,20,False,False,False,0,False
4_kaspar_whisper_soln_50cm_9.wav,1.7,8.09,whisper,21,21,21,True,True,False,0,True
4_kaspar_whisper_soln_50cm_9.wav,8.09,10.0,background_noise,0,0,0,False,False,False,0,False
silent_whisper.wav,0.0,0.2,background_noise,0,0,0,False,False,False,0,False
silent_whisper.wav,0.2,5.0,silence,1,1,1,False,False,False,0,False
silent_whisper.wav,5.0,10.0,whisper,29,29,29,True,True,False,0,True
silent_whisper_speak.wav,0.0,0.2,background_noise,0,0,0,False,False,False,0,False
silent_whisper_speak.wav,0.2,2.8,silence,1,1,1,False,False,False,0,False
silent_whisper_speak.wav,2.8,5.5,whisper,36,36,36,True,True,False,0,True
silent_whisper_speak.wav,5.5,6.4,silence,0,0,0,False,False,False,0,False
silent_whisper_speak.wav,6.4,9.64,normal_speech,4,4,4,False,False,False,0,False
silent_whisper_speak.wav,9.64,10.0,silence,12,12,12,False,False,False,0,False
test_background.wav,0.0,0.2,background_noise,0,0,0,False,False,False,0,False
test_background.wav,0.2,10.0,silence,11,11,11,False,False,False,0,False
whispered_question.wav,0.0,0.2,background_noise,0,0,0,False,False,False,0,False
whispered_question.wav,0.2,2.0,silence,18,18,18,False,False,False,0,False
whispered_question.wav,2.0,5.34,whisper,47,47,47,True,True,False,0,True
whispered_question.wav,5.34,8.17,silence,0,0,0,False,False,False,0,False
whispered_question.wav,8.17,8.7,normal_speech,0,0,0,False,False,False,0,False
whispered_question.wav,8.7,10.0,silence,8,8,8,False,False,False,0,False
whispered_question2.wav,0.0,0.5,background_noise,5,5,5,False,False,False,0,False
whispered_question2.wav,0.5,2.08,silence,5,5,10,False,False,False,0,False
whispered_question2.wav,2.08,8.68,whisper,47,47,47,True,True,False,0,True
whispered_question2.wav,8.68,10.0,silence,7,7,45,True,False,True,7,False
