frame,timestamp,processing_mode,detector_profile,speech_detector_implementation,comparison_speech_detector_implementation,is_speech,speech_probability,speech_gate_open,comparison_speech_evaluated,comparison_speech_is_speech,comparison_speech_aggressiveness,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score,low_proportion_std,mid_proportion_std,high_proportion_std,zcr_std,entropy_std,spectral_centroid_std,spectral_flux,cepstral_peak_prominence,spectral_slope,spectral_rolloff,spectral_flatness,temporal_v1_window_full,temporal_v1_silero_median,temporal_v1_low_proportion_std,temporal_v1_silero_min_pass,temporal_v1_silero_max_pass,temporal_v1_low_proportion_std_pass,temporal_v1_low_proportion_max,temporal_v1_low_proportion_max_pass,temporal_v1_raw_is_whisper,temporal_v1_is_whisper,temporal_v1_qualifying_run,webrtc_mode_0_evaluated,webrtc_mode_0_is_speech,webrtc_mode_1_evaluated,webrtc_mode_1_is_speech,webrtc_mode_2_evaluated,webrtc_mode_2_is_speech,webrtc_mode_3_evaluated,webrtc_mode_3_is_speech,webrtc_assist_open,webrtc_assist_enter_count,webrtc_assist_exit_count,temporal_candidate,temporal_qualifying_run,assisted_confirmation_requirement,fallback_confirmation_requirement,confirmation_requirement,threshold_crossing_route,trigger_route,trigger_suppression_reason,actuation_enabled,actuation_requested,actuation_started,actuation_suppression_reason
0,2026-08-18T22:01:26.729896,shadow,analysis_full,silero,webrtc,False,0.0,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,31.807744470250103,0.20282370676462977,0.4621460785355218,0.33503021469981714,,,,,,,,,,,,,,True,False,temporal_v1,False,0.01720457656564078,0.24425887265135698,4.735891518843725,0.6074329992844143,109.3677163102985,2341.316732860483,6.451364637278281,14.699824373986013,10.656555458984814,0.0,0.0,,,,,,,,1.3639445689388774,-0.0008120843196629322,3366.666666666667,0.03881494271486222,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,1,0,False,0,15,24,24,,,,False,False,False,
1,2026-08-18T22:01:26.994157,shadow,analysis_full,silero,webrtc,False,0.009409064427018166,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.31419405064561917,0.176512146188137,0.5823871593542435,0.24110069445443685,,,,,,,,,,,,,,False,False,temporal_v1,False,0.001659266373791278,0.2546972860125261,3.0862078333398997,0.7089324144391291,89.72152086147615,1950.079194335338,0.05545906619900245,0.18298258064150547,0.07575240380411129,0.0,0.0,,,,,,,0.01397148236930172,1.1789471353255787,-0.0006916348993035717,2533.3333333333335,0.007895276253026908,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,2,0,False,0,15,24,24,,,,False,False,False,
2,2026-08-18T22:01:27.072771,shadow,analysis_full,silero,webrtc,False,0.019557714462280273,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.4706832914959693,0.09086967573114162,0.5695994460165383,0.3395308782501955,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0020260182332246944,0.2776617954070981,2.827643904660332,0.8230777582362393,92.1041133508116,2116.5865292267877,0.04277083807030514,0.26810094208534496,0.15981151133931926,0.0,0.0,,,,,,,0.012024195801752537,0.8712271916812072,-0.000504052167312411,2533.3333333333335,0.005957729318849479,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,3,0,False,0,15,24,24,,,,False,False,False,
3,2026-08-18T22:01:27.079938,shadow,analysis_full,silero,webrtc,False,0.01749911904335022,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.4791185153319375,0.0787150644199601,0.614180999069398,0.3071039365085547,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0020483994824871195,0.25260960334029225,2.8496421254421653,0.7795461147830585,91.96388432584422,2379.0542230810006,0.0377138447991491,0.29426548841921607,0.14713918211257235,0.0,0.0,,,,,,,0.009769654282511746,0.5182007609005687,-0.0002925820744652877,2500.0,0.022091297744255226,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,False,True,False,False,4,0,False,0,15,24,24,,,,False,False,False,
4,2026-08-18T22:01:27.085947,shadow,analysis_full,silero,webrtc,False,0.021815644577145576,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.377622902461743,0.06393644594164252,0.5762500863987221,0.3598134676569872,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0018132956562607703,0.2818371607515658,2.7701790492672993,0.7828175353308086,90.92285577095379,2141.8497365214907,0.02414386628957138,0.21760523016971564,0.135873806001456,0.0,0.0,,,,,,,0.006363368975601984,1.0065441139342735,-0.0005756018430420649,2533.3333333333335,0.007480954085739969,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
5,2026-08-18T22:01:27.097308,shadow,analysis_full,silero,webrtc,False,0.022042566910386086,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.3979070752340713,0.07252312065035518,0.5319423294974871,0.39553454984964476,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0018661788806864593,0.2546972860125261,2.6771732759835043,0.8016321766144555,91.27558259514748,2154.249251485518,0.028857462824830513,0.21166361652354374,0.15738599588469712,0.0,0.0,,,,,,,0.004025566374887615,0.9175090956531329,-0.0005346227685599049,2533.3333333333335,0.008531191168430883,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
6,2026-08-18T22:01:27.107470,shadow,analysis_full,silero,webrtc,False,0.019204197451472282,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.36738151029237015,0.06998477755426391,0.5556782253708757,0.3743369970721384,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0017886219880404173,0.2630480167014614,2.6944420148675206,0.8064851522349996,90.9329700953186,2182.264653943559,0.025711113275361044,0.20414590567333638,0.13752449134267275,0.0,0.0,,,,,,,0.004784800133185448,1.0111905858830343,-0.0005885469065583219,2533.3333333333335,0.006105078005410449,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
7,2026-08-18T22:01:27.114037,shadow,analysis_full,silero,webrtc,False,0.015700362622737885,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.35137192261464445,0.07259434988556211,0.6927746108746151,0.23463103923697695,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0017530215537579104,0.2546972860125261,2.609651099339413,0.8220015887591777,90.84086484156487,1997.8779342718299,0.025507616290250154,0.24342154696162568,0.08244275936176867,0.0,0.0,,,,,,,0.009239257341679054,1.2093638159882834,-0.000711268774313221,2533.3333333333335,0.003109675499613657,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
8,2026-08-18T22:01:27.125277,shadow,analysis_full,silero,webrtc,False,0.013716835528612137,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.4488216654066386,0.054156430530893994,0.6834148722686757,0.2624286971982023,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0019763579699533127,0.2567849686847599,2.640547215487868,0.7926067012353534,91.72490305528035,2071.57347739592,0.02430657934335477,0.30673140113529224,0.11778368492699161,0.0,0.0,,,,,,,0.010994226799783251,0.9307060248884176,-0.0005328330093886427,2500.0,0.0045681270806378045,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
9,2026-08-18T22:01:27.134834,shadow,analysis_full,silero,webrtc,False,0.014996648766100407,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.20052348912392678,0.1457070217130599,0.5482070951089867,0.3060858831729664,,,,,,,,,,,,,,False,True,temporal_v1,False,0.0013236684146764157,0.25260960334029225,2.9735614745324015,0.6890237406525119,87.63439868659592,1871.5335881851775,0.02921768038375853,0.1099283994737464,0.06137740926542186,0.0,0.0,0.0497836627526536,0.06517894802392825,0.0527642016718781,0.011156901224123087,0.6003265066444468,151.49014346195176,0.006162420594564176,1.1844257545380332,-0.0006925033659734392,2500.0,0.004595965224333497,True,0.016599740833044052,0.0497836627526536,True,True,False,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
