frame,timestamp,processing_mode,detector_profile,speech_detector_implementation,comparison_speech_detector_implementation,is_speech,speech_probability,speech_gate_open,comparison_speech_evaluated,comparison_speech_is_speech,comparison_speech_aggressiveness,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score,low_proportion_std,mid_proportion_std,high_proportion_std,zcr_std,entropy_std,spectral_centroid_std,spectral_flux,cepstral_peak_prominence,spectral_slope,spectral_rolloff,spectral_flatness,temporal_v1_window_full,temporal_v1_silero_median,temporal_v1_low_proportion_std,temporal_v1_silero_min_pass,temporal_v1_silero_max_pass,temporal_v1_low_proportion_std_pass,temporal_v1_low_proportion_max,temporal_v1_low_proportion_max_pass,temporal_v1_raw_is_whisper,temporal_v1_is_whisper,temporal_v1_qualifying_run,webrtc_mode_0_evaluated,webrtc_mode_0_is_speech,webrtc_mode_1_evaluated,webrtc_mode_1_is_speech,webrtc_mode_2_evaluated,webrtc_mode_2_is_speech,webrtc_mode_3_evaluated,webrtc_mode_3_is_speech,webrtc_assist_open,webrtc_assist_enter_count,webrtc_assist_exit_count,temporal_candidate,temporal_qualifying_run,assisted_confirmation_requirement,fallback_confirmation_requirement,confirmation_requirement,threshold_crossing_route,trigger_route,trigger_suppression_reason,actuation_enabled,actuation_requested,actuation_started,actuation_suppression_reason
0,2026-08-18T22:00:46.918325,shadow,analysis_full,silero,webrtc,False,0.0,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,72.32949513363671,0.2226828138693161,0.48263010659513655,0.2946870795355336,,,,,,,,,,,,,,True,False,temporal_v1,False,0.02560464992092836,0.1837160751565762,4.743173331472689,0.6565208905178647,113.15816770837768,2210.16424042347,16.106535502105228,34.9083919463195,21.314567685210992,0.0,0.0,,,,,,,,1.934388556498195,-0.0011629885716083511,3233.3333333333335,0.010573449091049689,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,1,0,False,0,15,24,24,,,,False,False,False,
1,2026-08-18T22:00:47.189613,shadow,analysis_full,silero,webrtc,False,0.009145868942141533,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.015968054681060384,0.3667561026893398,0.5884761980910453,0.0447676991569899,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0003755335080413354,0.20876826722338204,3.886215759266943,0.8141170056354894,77.38686168762668,1683.521161651182,0.005856381502355975,0.009396820109620334,0.0007148530680840756,0.0,0.0,,,,,,,0.005315519063134944,1.376695832938507,-0.0008131973370437576,2200.0,0.01339380453278983,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,2,0,False,0,15,24,24,,,,False,False,False,
2,2026-08-18T22:00:47.237812,shadow,analysis_full,silero,webrtc,False,0.008199356496334076,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.010478446672898182,0.44893924315653916,0.48324684832665077,0.06781390842137618,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0003122500676956295,0.22755741127348644,4.063392899361572,0.818934122211944,75.79566754255352,1753.214543504407,0.004704185918787066,0.005063676330036926,0.0007105844230741912,0.0,0.0,,,,,,,0.0038271375755785627,1.3555062419915491,-0.0008039797254002846,2233.3333333333335,0.020080497955404206,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,True,False,3,0,False,0,15,24,24,,,,False,False,False,
3,2026-08-18T22:00:47.242912,shadow,analysis_full,silero,webrtc,False,0.00350776594132185,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.006404831879857435,0.5122345280203752,0.42452095720363026,0.06324451461986245,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00024318714939038593,0.21294363256784968,4.0544454585991705,0.8496421395351232,73.75484067654021,1627.6928376216138,0.0032807760350286254,0.0027189853603654048,0.00040507048346340467,0.0,0.0,,,,,,,0.002608916798643165,1.3941847715727935,-0.000827323830500428,2100.0,0.016677997868244695,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,True,True,False,False,4,0,False,0,15,24,24,,,,False,False,False,
4,2026-08-18T22:00:47.248696,shadow,analysis_full,silero,webrtc,False,0.0022786040790379047,True,True,True,1,False,True,False,0,0.0,,,,,,,,,,,,,0.007733231325305707,0.6597406721705047,0.2726384997967187,0.06762082790346462,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0002706039177771163,0.1837160751565762,3.8723665134980036,0.8838781354187315,74.86842323686486,1553.822062212478,0.00510192723260719,0.0021083765871123387,0.0005229275045861788,0.0,0.0,,,,,,,0.002402439778984844,1.9520470509712913,-0.0011790986880659362,2000.0000000000002,0.004701916982831716,False,,,,,,0.85,True,False,False,0,True,True,True,True,True,False,True,False,False,5,0,False,0,15,24,24,,,,False,False,False,
5,2026-08-18T22:00:47.253746,shadow,analysis_full,silero,webrtc,False,0.002568015828728676,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0060074849101038105,0.6950678045642725,0.24538156488495844,0.05955063038430987,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00023784983828701854,0.17954070981210857,3.8742200239669127,0.9008237375056912,73.81244314508831,1497.6755238267406,0.004175609347418852,0.001474126048264047,0.000357749513420911,0.0,0.0,,,,,,,0.0013979637318322726,1.6208635475298923,-0.0009626783145140653,1766.6666666666667,0.009036589246935012,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
6,2026-08-18T22:00:47.259298,shadow,analysis_full,silero,webrtc,False,0.002695480128750205,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.00872068417820179,0.7375177306887725,0.21834356767050384,0.0441387015260537,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0002848737278740357,0.17118997912317327,3.81285873493148,0.9108891884077629,75.45123844326315,1496.7809561881372,0.006431659205160867,0.0019041052959962944,0.00038491967604462773,0.0,0.0,,,,,,,0.0011767415871005223,1.418634522257227,-0.0008441002733908619,1533.3333333333335,0.014921108504361884,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
7,2026-08-18T22:00:47.265185,shadow,analysis_full,silero,webrtc,False,0.002576101804152131,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.00117822700831736,0.6863214488696585,0.24634031625317632,0.06733823402843228,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00010848759617970228,0.1837160751565762,3.8869989917162906,0.877821231678094,66.57361118936687,1681.6502284827384,0.0008086424674457337,0.0002902448138469323,7.933972602469401e-05,0.0,0.0,,,,,,,0.0023212235520775775,1.1028282621686776,-0.0006505888132161723,1933.3333333333335,0.033619612012536715,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
8,2026-08-18T22:00:47.270224,shadow,analysis_full,silero,webrtc,False,0.002402952639386058,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0048641850270687076,0.71722155912091,0.2260137683825121,0.056764672290993495,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00021463278141141946,0.14613778705636743,3.906871553903473,0.9007336346567466,72.90198913913572,1531.8407703932257,0.0034886983689668043,0.0010993727880775903,0.0002761138690243125,0.0,0.0,,,,,,,0.0021764962120063218,1.8542031842805011,-0.0011264119721118887,1633.3333333333335,0.006850270100693213,False,,,,,,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
9,2026-08-18T22:00:47.277811,shadow,analysis_full,silero,webrtc,False,0.002275970298796892,True,True,False,1,True,True,False,1,0.0,,,,,,,,,,,,,0.003252058095560295,0.656286808095636,0.23791154632201827,0.10580164527484821,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00017916012217445682,0.17954070981210857,4.225756238766235,0.8001174262495117,70.77659052632687,2305.457835042996,0.0021342828272768385,0.0007737021702437876,0.00034407309703966875,0.0,0.0,0.16563119086205508,0.13044528934147206,0.07104223668070411,0.022023815378506006,0.26478860662828285,274.90174774130026,0.0023798919614867924,0.5230369310519791,-0.0003137834340986416,2433.3333333333335,0.21527732836060398,True,0.0025720588164404035,0.16563119086205508,True,True,True,0.85,True,True,True,1,True,False,True,False,True,False,True,False,False,0,0,True,1,15,24,24,,,,False,False,False,
10,2026-08-18T22:00:47.286849,shadow,analysis_full,silero,webrtc,False,0.00939106848090887,True,True,False,1,True,True,False,1,0.0,,,,,,,,,,,,,0.09227736842997954,0.2792727316914804,0.6886707395792879,0.03205652871839468,,,,,,,,,,,,,,False,False,temporal_v1,False,0.000899257413787676,0.14613778705636743,2.909807798292545,0.8791372420523923,85.33038781334652,1671.3444781929502,0.025770552754741563,0.06354872356310444,0.0029580921111335254,0.0,0.0,0.15423308740732053,0.16312309828968435,0.018836496198169028,0.025336762335873737,0.3347931949124539,224.51425647725944,0.012141339330431163,0.9742386446252902,-0.0005727732194408923,1333.3333333333335,0.016041704091720527,True,0.002635790966451168,0.15423308740732053,True,True,True,0.85,True,True,True,2,True,True,True,False,True,False,True,False,False,1,0,True,2,15,24,24,,,,False,False,False,
11,2026-08-18T22:00:47.293934,shadow,analysis_full,silero,webrtc,False,0.004222194664180279,True,True,False,1,True,True,False,1,0.0,,,,,,,,,,,,,0.030632879384069747,0.2400057269961384,0.7141413256438472,0.045852947327369706,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0005197679171325918,0.17118997912317327,2.879468609316074,0.8793793027806737,80.55934005278968,1660.6971616936023,0.00735206648655868,0.02187620509162765,0.0014046078048834195,0.0,0.0,0.17474689435478202,0.18355767176620083,0.018746091979566844,0.024131480571363575,0.4425728990390054,224.5859116948347,0.006807296915467503,1.0363523226164335,-0.0006095927791788849,1300.0,0.012657393446602994,True,0.002635790966451168,0.17474689435478202,True,True,True,0.85,True,True,True,3,True,True,True,False,True,False,True,False,False,2,0,True,3,15,24,24,,,,False,False,False,
12,2026-08-18T22:00:47.301718,shadow,analysis_full,silero,webrtc,False,0.0029623722657561302,True,True,False,1,True,True,False,1,0.0,,,,,,,,,,,,,0.013745932227324398,0.3633488396909351,0.5634871714552627,0.07316398878105344,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0003521350856869218,0.16701461377870563,3.688310076022592,0.8590314120694175,77.05677230516766,1623.1803381507248,0.004994568525268551,0.007745656469790764,0.0010057072312650833,0.0,0.0,0.18207898753086668,0.18973262204426364,0.019006933440206313,0.018395315884685334,0.4300224781819284,223.61797404622325,0.007867438832092712,1.7104422680671116,-0.0010283066270363268,2033.3333333333335,0.006333385784576882,True,0.002635790966451168,0.18207898753086668,True,True,True,0.85,True,True,True,4,True,True,True,False,True,False,True,False,False,3,0,True,4,15,24,24,,,,False,False,False,
13,2026-08-18T22:00:47.308835,shadow,analysis_full,silero,webrtc,False,0.001842397265136242,True,True,False,1,True,True,False,1,0.0,,,,,,,,,,,,,0.0057899252998757,0.38455060787396317,0.5368308909053192,0.0786185010480039,,,,,,,,,,,,,,False,False,temporal_v1,False,0.0002272973389084281,0.18580375782881003,3.7905136714699195,0.8460315132985634,73.13842951142236,1657.3119294400508,0.002226519293612039,0.0031082107570075197,0.000455195248256142,0.0,0.0,0.18895640074258663,0.19506305392309875,0.019691015902213612,0.013925015570482086,0.416011206050542,223.29995384037576,0.0048058290624508355,1.1887773082308761,-0.000704024413890731,2133.3333333333335,0.017901594867015702,True,0.0025720588164404035,0.18895640074258663,True,True,True,0.85,True,True,True,5,True,True,True,False,True,False,True,False,False,4,0,True,5,15,24,24,,,,False,False,False,
14,2026-08-18T22:00:47.315587,shadow,analysis_full,silero,webrtc,False,0.0016522541409358382,True,True,False,1,True,True,False,1,0.0,,,,,,,,,,,,,0.0032661629047489467,0.38196862848072877,0.5448241432549827,0.07320722795811886,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00017246341398728345,0.2045929018789144,3.768499834834863,0.8456631669593906,70.67505044718644,1667.4309001645688,0.0012475717651215883,0.0017794844063110506,0.00023910673231630782,0.0,0.0,0.19001043493432468,0.19508343928856686,0.019889853508073457,0.016868941063061183,0.412478081399211,220.06979426997518,0.0036201762934144756,1.2576991336493621,-0.0007470721980884788,2133.3333333333335,0.01628126703043399,True,0.0025720588164404035,0.19001043493432468,True,True,True,0.85,True,True,True,6,True,True,True,False,True,False,True,False,False,5,0,True,6,15,24,24,,,,False,False,False,
15,2026-08-18T22:00:47.322169,shadow,analysis_full,silero,webrtc,False,0.0015844557201489806,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.0020839870650047167,0.5444613449205676,0.3559036742710637,0.0996349803285192,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00014034639563921853,0.14822546972860126,3.8473552883686746,0.8689547893658913,68.92534264449482,1619.4332791913455,0.0011346504002095344,0.0007416986535685487,0.0002076380102266334,0.0,0.0,0.1808205776402853,0.18774600607542738,0.022524557022866664,0.018300298121762947,0.41125311711999646,212.93478092642945,0.005173357859556544,1.285760586049243,-0.0007560097871276494,2100.0,0.016810119822455758,True,0.0024895272217690945,0.1808205776402853,False,True,True,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
16,2026-08-18T22:00:47.327294,shadow,analysis_full,silero,webrtc,False,0.0015844557201489806,True,True,False,1,False,True,False,0,0.0,,,,,,,,,,,,,0.001091352046912133,0.4136305503150686,0.49642149852837725,0.08994795024025944,,,,,,,,,,,,,,False,False,temporal_v1,False,0.00010339397528395465,0.162839248434238,3.740182666519036,0.8543459675452741,65.99658725521716,1626.3854206780452,0.00045141654775174213,0.0005417706185501329,9.816487961025782e-05,0.0,0.0,0.16337981747499383,0.17394268748634564,0.02192582043129079,0.01843318584938966,0.4093310446762125,204.4635824035879,0.005917891156681975,1.5188331299905928,-0.0009147082594296341,1966.6666666666667,0.010722849823652854,True,0.002339461469091475,0.16337981747499383,False,True,True,0.85,True,False,False,0,True,False,True,False,True,False,True,False,False,0,0,False,0,15,24,24,,,,False,False,False,
